pinyin,counts,zi
hao3,4,好郝𡥆𤫧
hao4,72,㘪㙱㚪㝀㞻㬶䒵䚽䝞䧚䪽䯫傐号哠好妞恏悎昊昦晧暠暤暭曍浩淏滈澔灏灝皓皜皞皡皥睾秏翯耗聕薃藃號鄗鎬镐顥颢鰝𡐒𡚌𡚽𡠖𡥆𣆧𣚧𣱓𤝐𤩩𤩭𥍣𥢑𦳁𧇼𧦝𧬁𨚮𨝲𨠬𩲊
he1,26,㰤㰰㿣䏜䶎呵哈喝嗬抲欱苛荷蠚訶诃𠀀𠳊𠵩𢥳𣣹𥘫𦘿𩐥𩑸𪖲
he2,161,㔠㕡㗿㥺㧁㪃㪉㭘㭱㮝㮫㹇㿥䃒䅂䒩䕣䞦䢔䫘䮤䳚䶅何劾合咊和咼哈哬啝喛嗑噈姀害峆惒挌揭敆曷柇核楁毼河洽涸渮渴澕熆犵狢皬盇盉盍盒礉禾秴篕籺粭紇繳纥翮荷菏萂藿蚵蝎螛覈訸詥貈貉輅轄郃鉌鑉閡閤闔阂阖鞨頜颌餄餲饸魺鲄鶡鹖麧齕龁龢𠘢𠚔𠛳𠧕𠰓𠳇𠶹𠻙𡇞𡇶𢄍𣏷𣰌𣲑𣲲𣿌𤈧𤖱𥝖𥝸𥞄𥞍𥞩𥟃𥻉𥽶𦃔𦇸𦒏𦛘𦛜𦳬𦼰𦼵𧇎𧇮𧊬𧝳𧪞𧭳𧮵𧲦𨋟𨍇𨜱𨜴𨨛𨴢𩅢𩌡𩩲𪈊𪘹𬌗
he3,1,㪋
he4,84,㚘㬞㵑㷎㾑䐧䓇䓼䚂䯨䳽何佫吓呼和哧喝嗃嚇垎壑寉愒抲曷格焃煂熇燺爀猲癋硅碋穒翯荷藃袔褐謞賀贺赫隺霍靍靎靏鬩鵠鶡鶮鶴鸖鹤齃𠁗𠗂𠡀𠶾𡀽𡫥𢅰𢬲𣆈𤌾𥉑𥋿𦞦𦤦𦺞𦽅𧀔𧝂𧨂𧬂𧬱𧯉𩄸𩩒𩵢
hei1,12,㱄嗨嘿潶黑黒𢖛𢡀𥕙𨭆𩻤𬭶
hen1,1,噷
hen2,7,㯊拫掀痕艮鞎𦚣
hen3,7,䓳佷哏很狠詪𬣳
hen4,1,恨
heng1,9,亨哼啈悙涥脝訇𣨉𦨾
heng2,33,㔰㶇䬖䬝䯒佷姮恆恒桁横橫烆狟珩胻蘅行衡鑅鴴鵆鸻𠔲𠧿𡧦𤮏𥞧𦪗𦶙𧝒𩙯𪏓
heng4,4,啈堼悙横
hm5,1,噷
hng5,1,哼
hong1,50,㧦䆪䎕叿吽呍哄哅嚝巆揈渹灴烘焢硡薨訇謍谾軣輷轟轰鍧𠐿𠹅𢝁𢝻𤃫𤟼𥓰𥔀𥕗𦐳𦑟𦑠𦒃𦕠𨋮𨌁𨎗𩐠𩒼𩓅𩖉𩗄𩘇𩙛𪈘
hong2,106,㖓㗢㢬䂫䃔䆖䉺䜫䞑䡌䡏䧆䨎䩑䪦䫹䫺䲨仜共厷叿吰垬妅娂宏宖屸弘彋揈汪汯泓洚洪浤浲渱潂玒玜瓨硔竑竤篊粠紅紘紭綋红纮翃翝耾舼苰荭葒葓蕻虹谹谼鈜鉷鋐閎闳霐霟鞃魟鴻鸿黉黌𠪷𠲓𡇳𡵓𢂔𢘌𢬀𤂲𤄏𥏕𥥈𦁷𦏺𦐌𧈽𧐬𧮴𨌆𨥺𨹁𨾊𩘎𩶥𫚉𫟹𬭎
hong3,15,㬴䀧哄唝嗊愩晎𢗵𢦅𢼦𣽝𨢣𩒓𩕆𩕉
hong4,30,㗢㶹哄撔港澋澒蕻虹訌讧銾閧闀闂鬨鴻𠳃𡺭𥈿𥥡𥰲𦕷𦶓𧊯𧋔𧾧𩒴𩗢𩰓
hou1,6,呴齁𠯜𩙡𪅺𪖙
hou2,49,㗋㤧㬋㮢㺅䂉䗔䙈䫛䳧侯喉帿猴瘊睺矦篌糇翭翵腄葔鄇銗鍭餱骺鯸𡞥𡟑𡹵𢜴𣔹𣣠𣣡𥈑𥚦𦑚𦚥𦞈𦞕𧇹𧮶𧼵𩃺𪃶𪑻𬭤
hou3,11,㖃㸸吼吽呴犼𠴣𤘽𤙽𦍵𧻿
hou4,34,㖃㫗㰯㰻䗔䞀䞧䪷侯候厚后垕堠後洉詬豞逅郈鮜鱟鲎鲘𠷋𥀃𥅠𧙺𧩨𨒙𩄬𩘋𪄗𪇂
hu1,78,㦆㦌㧮㧾㫚㳷㺀䓤䨚䩐䬍䰧䴣䴯乎乯匢匫呼唿嘑垀寣幠忽恗惚惡戏戯戲昒曶歑泘淲淴滹烀糊膴芔芴苸虍虖謼軤轷雐雽𠥰𠦪𡧥𡱽𡼘𢑢𢽨𣓗𣡾𤇠𤎲𤐀𤶘𥇰𦁕𦩕𧇛𧠩𧢰𧦝𧩓𨕚𨖃𩂂𩖨𩳨𩶈
hu2,143,㗅㪶㯛㴶㽇㾰䁫䈸䉉䉿䊀䎁䚛䞱䠒䧼䩴䭅䭌䭍和喖嘝囫壶壷壺媩弧抇搰斛核楜槲汩沍湖瀫焀煳狐猢瑚瓠瓡瓳礐箶糊絗縎縠胡葫蔛虖蝴螜衚觳醐鈷鋘鍸隺頶餬鬍魱鰗鴩鵠鶘鶦鶮鶻鹄鹕鹘𠴱𡍐𡰅𡹹𢉢𢎵𢏯𢑹𢓲𢪏𣄟𣎚𣙶𣛫𣝗𣫈𣲑𣹬𤌍𤘵𤝘𤞲𤭱𤾅𥂤𥐿𥰪𥶜𥷆𥾨𦊧𦏗𦖼𦗣𦧘𦴉𦷳𦺟𧇰𧍵𧛞𧞒𧣼𧲥𧹾𧻰𨍲𨢋𨣗𨴬𩑶𩢪𩨔𩰯𩱍𩵬𩾻𪂒𪏻𪕉𪕮𪕱𪙈
hu3,24,䗂乕俿唬汻浒淲滸滹琥箎萀虎虝許许錿鯱𧆢𧆮𧌧𧰴𨛵𨝘
hu4,125,㕆㦿㨭㱿㷤㸦㺉䇘䊺䍓䕶䤕䨼䪝乥互冱冴嗀嗃嘑嚛姱婟嫭嫮岵帍弖怘怙戶户戸戽扈护摢擭昈枑楛槴沍沪洿淈滬濩熩瓠祜穫笏簄粐糊綔羽胍芐芦苦蔰虎虖觷護豰鄠鍙雇雽韄頀魱鱯鳠鳸鸌鹱𠯳𠰛𡉴𡜂𡞠𡴱𡵘𡻮𢆰𢚪𢨥𢨦𣑂𣲑𤘔𤜷𤨖𤹣𥢍𥢟𥲉𦊂𦊘𦬚𦭈𧂔𧅰𧆯𧗌𧘢𧥮𧥯𧦚𧲇𧹲𧿓𧿠𨝞𨢤𨥛𨱀𪄮𪍂𪏳
hu5,1,𩾇
hua1,28,㳸化吪哗嘩埖婲椛砉硴竵糀花芲華蒊蒍蘤誮錵𠝐𡁑𤙕𦧹𦶎𨣄𨶱𩝨
hua2,60,㕲㟆㠏㦊㩇㭉㮯䅿䔢䯏䱻䴳䶤侉划劃劐华哇哗嘩姡學找搳撶敌滑澮猾獪磆華蕐螖譁豁釪釫鋘鏵铧驊骅鷨𠳂𢼤𤁪𥉄𥢮𦧠𦽊𧑍𧨋𧪮𧽌𩤉𩨔𪉊𪗽
hua4,66,㓰㕦㕷㚌㼫䀨䇈䋀䛡划劃化华叱咶夻婳嫿嬅崋摦杹桦槬樺檴澅画畫畵稞粿繣罫腂舙華觟話諙諣譮话輠魤鮭黊𠤎𠿜𡺛𢄶𢦚𣶩𤼒𥒶𥧰𦁊𦖍𦧵𦪠𨶬𩂤𩗐𩲏𩵏𩸄
huai2,23,㜳㠢䃶䈭佪圳壞徊怀懐懷槐櫰淮瀤耲蘹褢褱踝𤜄𩌃𪊉
huai4,15,咶喟坏坯壊壞蘾𣟉𣩹𣸎𤜄𦏨𦧬𧱳𩟮
huai5,2,划劃
huan1,35,㹕䑏嚾孉巜懁懽欢欥歓歡犿獾讙豩貆貛酄驩鴅鵍鸛𠂄𡚊𡚜𣌓𣎅𤛚𥐓𥹚𨽧𩦘𩵄𩿊𪈩
huan2,77,㡲㵹㶎㿪䁵䝠䥧䦡䭴䴉䴋䴟圜垸嬛寏寰峘桓汍洹澴狟环瑗環瓛睔瞏糫絙綄繯缳羦荁萈萑蒝豲貆轘还還郇鉮鍰鐶锾镮闤阛雈雚鬟鹮𠟼𡄤𡍦𡘍𡩂𡱌𡷗𢟿𤩽𥹳𦣴𦻃𦼉𨕹𩍡𩑖𩙽𩡧𪊥𪍺𬘫
huan3,13,㣪㬊䈠攌睆緩缓𣴟𤀣𤼢𥶍𦑛𧡩
huan4,82,㕕㪱㬇㬊㹖㼫䀓䄆䆠䍺䒛䠉䯘䴷唤喚喛嚾圂奂奐宦嵈幻患愌换換援擐梙槵浣涣渙漶澣灌烉焕煥瑍環痪瘓皖眩睆綄肒脘藧螌蠸讙豢轘逭鯇鯶鰀鲩𠺐𠻍𡅱𡅻𡷗𤡟𤢁𤴯𤼐𤽅𤽕𥈉𥏇𥠅𦌦𦝝𧚁𧴊𨜌𪍺
huang1,30,㠵㡃㬻㼹䀮塃巟慌朚肓芒荒衁𡜋𡡄𡧽𡿰𢁹𢇟𣆖𣺬𤆴𤠛𤭉𥿪𧖬𧠬𨚳𩢯𪀞
huang2,81,㞷㾮䄓䅣䅿䊗䊣䍿䐵䑟䞹䪄䮲䳨䵃偟凰喤堭墴媓崲徨惶揘楻横湟潢煌熿獚瑝璜癀皇磺穔篁篊簧艎荒葟蝗蟥諻趪遑鍠鐄锽隍韹餭騜鰉鱑鳇鷬黃黄𠂸𡉚𤚝𤛥𤯷𤾑𦡽𦪗𧕸𨉤𨍧𨜔𨝴𨱑𩞩𪏍𪏒𪏙𫗮
huang3,36,㤺㨪㬻䁜䐠兤奛宺幌怳恍愰慌晃晄櫎汻炾熀熿爌縨芒茫荒詤謊谎𡧽𣄙𣉪𦟮𦬺𦵽𧨆𨾡
huang4,17,㨪㿠䁜䌙愰晃曂榥横洸滉潢皝皩鎤𥫼𨉁
huang5,1,慌
hui1,85,㞀㧑㫎㷇㹆㺔㾯䖶䜐䝅咴噅噕堕墮婎媈幑徽恢戲拻挥揮撝晖暉椲楎洃瀈灰灳烣煇煒珲琿皓眭睢睳禈翚翬蘳虺袆褘詼诙豗輝辉鑴隓隳鰴麾鼿𠓊𠯠𡒾𡯥𢀡𢊄𢯷𣄓𤕚𤟤𤾈𥃌𥌍𦭹𧉇𧗼𧳐𨦗𩀶𩻟𪀬𪈑𪏏𪑀𪖕
hui2,33,佪囘回囬廻廽徊恛洄烠痐繢茴藱蚘蛔蛕蜖迴逥違韋鮰𠲛𡋙𡰋𡹎𤜡𨛤𩢱𪀟𪛂𫚔
hui3,41,㩓㷄㷐䁤䃣䏨䛼悔檓毀毁毇泋烜烠燬蘬虫虺蛕螝譭𠧩𡢕𡭛𣸀𤃽𤈦𤌋𤳳𥊔𥍋𥶵𥸃𦞙𦽐𧗏𩃾𩗝𩶥𪏇
hui4,181,㑰㑹㒑㜇㞧㣛㤬㥣㨤㨹㩨㬩㰥㱱㻅䂕䅏䌇䕇䙡䛛䜋䢈䤧䧥䩈䫭䵻䶐会僡儶匯卉叀哕喙嘒噦嚖圚墮壞嬒孈寭屶屷廆彗彙彚徻恚恵惠慧憓晦暳會桧槥橞檅檜櫘殨毁汇沬泋洄浍涣湏溃滙潓澮濊烩燴獩璤璯瘣瞺秽穢篲絵繢繪绘缋翙翽芔荟蒐蔧蕙薈薉藱蚘蟪襘詯誨諱譓譮譿讳诲賄贿輠銊鏸鐬闠阓靧鞼韢頮顪颒餯𠍗𠧩𠱥𠽡𠿔𡏁𡜦𡥋𡹯𢄣𢅫𢊇𢕺𢟾𢻔𣋘𣨶𤆳𤜋𤸁𥀠𥔯𥱵𥴯𦂆𦒎𦡖𧏧𧖢𧧾𧬨𧭾𨊢𨍹𨗥𨘇𨘲𨵘𩆁𩇻𩒏𩒳𩔁𪊂𪔊𬤝
hui5,2,懳𣌭
hun1,28,㖧㗃䎜䡣婚惛惽昏昬棔殙涽湣焄睧睯荤葷閽阍𠉣𡨩𣇲𣣏𥄇𧠚𩅴𩔉
hun2,42,㑮㨡㮯䊐䐊䚠䮝䰟䴷䴹堚忶捆揮昆梡梱浑混渾湷溷煇珲琿緄緡繉轋顐餛餫馄魂鼲𣝂𣨿𦟲𨋨𨏂𩧰𪌽
hun3,4,惛𦃕𩽼𪑕
hun4,40,㥵䅙䅱䐊䚠䛰䧰䫟䵪俒倱圂婫慁掍昏棍涽混渾溷焝眃緄觨諢诨顐𠉣𡇯𡨳𣣞𦞢𦡵𦵣𧣢𨂱𨡫𩇇𩏖
huo1,19,㺢䦝剨劐吙呵嚄搉攉火耠豁鍃锪騞𨷮𩦐𩭳𬴃
huo2,17,䄆䄑䣶佸和姡活秮秳萿越趏𡯢𢋒𤻙𦨯𧵻
huo3,12,㶡伙夥扮漷火灬邩鈥钬𤆄𤬁
huo4,127,㓉㖪㗲㘞㦎㦜㦯㨯㩇㯉㶁㸌㺢䁨䂄䄀䉟䐸䨥䬉䰥䱛俰剨劐化和咟嚄嚯嚿壑奯惑或捇掝擭攉旤曤楇檴沎湱漷濊濩瀖焃獲瓠癨眓矆矐砉礊祸禍穫篧耯膕臛艧获蒦藿蠖諕謋豁豰貨货過鑊镬閄隻霍靃𠙞𠯐𠵾𡄴𡓘𡪞𡾜𡿿𢃎𢛯𢝇𢞕𣄸𣉒𣤨𤁹𤊴𤏘𤐰𥇙𥊮𥒠𥙨𥝂𥽥𦑌𦑱𦒧𦞦𧆑𧤴𧯆𧯱𧹴𨌝𨐶𨘌𨙀𩆀𩞺𩟨𩟸𩪭𪒩
huo5,1,伙
ji1,215,㚻㛷㞓㦘㫷㮷䀘䁶䂑䇧䇫䈕䐚䕤䗗䛴䟇䳶丌乩倚僟其几击刉刏剞勣卟叽呰咭唧喞嗘嘰圾垍基墼奇妓姫姬居屐嵆嵇幾庴憿懠撃撽擊攲敧朞期机枅棋槣樭機櫅毄汲激犄玑璣畸畿癪矶磯禨积稘稽積笄筓箕簊緝缉羁羇羈耭肌脔芨苙萁蘄虀虮襀覉覊覘觭諅譏譤讥谿賫賷赍跂跡跻踑踦蹟躋躸迹鄿銈錤鐖鑇鑙隔隮雞鞿韲飢饑饥鳮鶏鷄鸄鸡齊齎齏齑𠀃𠀷𠋻𠍃𠔋𠚽𠟣𠴩𠷌𠼻𡇟𡫀𡳮𡿙𢁂𢆻𢡴𢨐𢩦𢼋𣇳𣪠𣬠𣰈𤋭𤌿𤳎𥘌𥡒𥨿𥫶𥰦𥳏𥺵𥾡𦌰𦠄𦳌𦺬𦼷𦿓𧐐𧗒𧫠𨅤𨊻𨍺𨐆𨖊𨮺𨲪𨳻𨹶𨻕𩉜𩐆𩚮𩜆𩠨𩨒𪅹𪌍𪔋𫌀𫓯𫓹𬯀
ji2,217,㔕㗊㗱㘍㙫㞋㠍㠎㡮㤂㥛㧀㭲㲺㴕㸅㻷㽺㾊䁒䐕䚐䞘䟌䣢䩐䩯䯂䲯䳭乁亟亼亽伋佶偮卙即卽厝及叝吇吉圾堲塉姞嫉尐屰岋岌嶯庴彶忣急愱戢揖揤极棘楖楫極槉橶檝殛汲洁淁湒潗濈焏狤疾瘠皀皍瞿秸笈箿簎籍級緝级耤胔脊脨膌艥艻莋蒩蒺蕀蕺藉蜡蝍螏蠀襋覿觙諔诘谻趌趞踖蹐躤輯轚辑郅郆銡鍓鏶集雦雧霵革鞊鶺鷑鹡𠑃𠓞𠗏𠢠𠦫𠨠𠫷𠯉𠶻𠹋𠿠𡁰𡃃𡅺𡦪𡹪𢃺𢉗𢏞𢔔𢨐𢰒𢱣𣏡𣖷𣛔𣜇𣣝𣲡𣳃𣹜𤊵𤎗𤠎𤷉𤺷𤿠𥈂𥊬𥋥𥒡𥕂𥖙𥠋𥮪𦎢𦝖𦞽𦠾𦩧𦵾𦶍𦺩𦺴𧈼𧉆𧉍𧎿𧤏𧥄𧧩𧩦𧪠𧮭𧽑𧾢𨂢𨋉𨛳𨤹𨦮𨪏𨸚𩀖𩢴𩦤𩴃𪂺𪄸
ji3,57,㚡㞆㞛㞦㦸㧗㨈㴉䍤䢳䤒丮几妀嵴己幾戟挤掎撠擠極泲济濟犱穖紀給纪给脊虮蟣蟻踦颳魕魢鱾麂𠮯𠱨𢓄𢜭𤜝𤜾𥪼𥾊𧾾𨄐𨒴𨳋𩉢𩯋𪂍
ji4,259,㑧㒫㓹㙨㞃㠱㡭㤅㥍㨳㮨㰟㲅㳵㸄㹄㻑㾵䀈䋟䐀䓽䗁䛋䜞䝸䠏䢋䤒䦇䨖䮺䰏䱥䶓䶩伎偈其兾冀剂剤劑哜嚌坖垍塈妓姼季寂寄峜帺幾廭彐彑徛忌悸惎懠懻技擊旡既旣暨暩曁梞檕檵櫅櫭汥洎济済漃漈濟瀱猗璾畟疵痵瘵癠睽瞉祭禝禨稩稷穄穊穖穧粢系紀紒結継績繋繫繼纪继绩罽肌臮芰茍茤荠葪蓟蔇薊薺蘎蘮蘻蟿裚襀覬觊計訐記誋諅计记跽踑际際霁霽騎驥骥髻鬾魝魥鮆鯚鯽鰶鰿鱀鱭鲚鲫鵋齊齌齍齐𠨕𠱙𠲹𠴫𠿉𡁪𡋚𡜱𡥞𡦊𡪱𡬄𡽉𢁂𢍇𢗂𢗹𢚁𢢞𢭄𢺼𢼷𣄯𣄱𣔽𣪠𣯅𣱗𣽍𤓑𤛄𤤋𤫝𤵀𤺗𥠈𥡴𥣩𥪫𥭋𥭌𥭜𥷙𦁳𦂑𦆡𦇧𦋋𦌗𦜸𦪱𦮯𦮼𦺶𦾲𧃞𧇯𧓓𧙁𧟜𧡉𧡯𧢾𧧃𧧟𧪇𧫜𧾽𨀶𨂢𨛉𨛑𨜒𨢵𨣧𩓮𩞊𩥉𩧱𩩛𩯰𩼄𩼚𪄵𪊆𪘥𪟝𬶨𬶭
jia1,79,㚙㹢䂟䇲䕒䴥乫伽佳傢加咖嘉埉夹夾宊家抸拁挟挾擖枷梜椵毠泇浃浹犌猳珈痂笳筴糘耞腵茄葭袈袷裌豭貑跏迦鉫鉿鎵镓駕麚𠷉𠺢𡩚𡭘𡶥𢪍𣪇𣮫𤟚𤠙𥝿𥡮𥹌𦎮𦙺𦣯𧉪𧦤𨔗𨔣𩊏𩶛𪐓𪔟𬂩
jia2,66,㕅㪴㮖㿓䀫䀹䕛䘥䛟䩡唊圿夹夾岬忦恝戛戞扴拮挈揩揳猰筴絜荚莢蛱蛺袷裌跲郏郟鋏铗頡頬頰颊餄骱鴶鵊𡊠𢗊𢫢𥇗𥑔𥞵𦎱𦧮𦸘𦺧𦽤𧿵𨒇𩉡𩚲𩛩𩠃𪇷𪈟𪙏
jia3,35,䑝假叚呷嘏夏婽岬徦押斚斝暇柙椵榎槚檟玾甲瘕胛蝦賈贾鉀钾𣦉𤖰𤗜𥑐𩌍𩨹𩲣𪆲
jia4,23,㸦价假價嫁家幏架枷榢稼賈駕駱驾𢉤𢜿𢱈𢱌𥋣𦙺𦨦𨔣
jia5,1,家
jian1,171,㓺㔋㡨㦰㪠㭴㹇䌑䌠䓸䔐䘋䶢䶬傔兼冿咸喊囏坚堅奸姦姧孱尖帴幵惤戋戔揃搛攕椷椾樫櫼歼殱殲沮浅淺渐湔溅漸濺瀐瀸煎熞熸牋犍猏玪瑊监監睷碊礛稴笺箋篯籈籛緘縑纖缄缣肩艰艱菅菺葌蒹蔪蕑蕳虃覸豜豣趼軒銒鋑鋻鐧鑯閒間间靬鞬鞯韀韉餰馢鰔鰜鰹鲣鳒鳽鵳鶼鹣麉黚黬𠫘𠷁𠼤𠿏𡄑𡬵𢃬𢐆𢦺𢨿𢳚𣘖𣘷𣚙𣝕𣮏𣽖𤍖𤪋𥊇𥌈𥡝𥻧𦋰𦏔𦣨𦽇𧂢𧢖𧤨𧥈𧲨𨔥𨳡𨳿𨴾𩅼𩆯𩆷𩇏𩋋𩌯𩍎𩎒𩛧𩱃𪃋𪏊𪐻𪒹𪙨
jian3,147,㔓㨵㳨㶕䄯䅐䉍䚊䟰䭕䭠䮿䵡䵤䶠俭倹儉减前剪劗咸囝堿帴弿彅戩戬拣挸捡揀揃揵撿暕枧柬梘检検楗橏檢涀減湕瀽煎犍瑐睑瞼硷碱礆笕筧简箴簡籛絸繭翦茧藆蠒裥襇襉襺詃謇謭譾谫趼蹇醎醶錢錽鐗鐧锏閒間險騫鬋鰎鹸鹹鹻鹼齊𠍚𠏇𠐻𠹟𠽱𡄓𡅶𡑯𡭭𡸃𡾰𢆞𢍫𢩀𢵈𣜭𣠷𣥞𣳲𤄒𥀹𥍀𥍹𥜲𥢇𥳒𥳟𥳷𦁲𦂇𦢣𦺍𦺘𧀇𧅆𧬫𧮈𧸘𨢑𨣇𨣝𨤄𨰓𩉍𩟗𩽜𪉦𪒫
jian4,155,㣤㨴㯺㰄㵎䇟䟅䤔䥜䧖䫡䬻䭈䭙䯡件侟俴健僣僭剑剣剱劍劎劒劔塹墹寋建徤揵擶旔朁栫梘楗榗槛檻毽洊涧淺渐湔溅漸澗濫濺瀳煎牮犴珔监監瞯瞷磵礀箭糋繝聻腱臶舰艦茛荐葥蔪薦螹袸見覵见諓諫譖譼谏賎賤贱趝跈践踐踺轞釰釼鉴鋻鍊鍳鍵鏩鐱鑑鑒鑬鑳锏键閒間间鞬餞饯𠊒𢆦𣚙𣴓𣽦𤀩𤧣𤷃𥯦𥴱𥽐𦞬𦩵𦾶𧀵𧂂𧂆𧗸𧙧𧤽𧧅𨍒𨎫𨏊𨪅𨵭𨷓𩅼𩉔𩤊𩻘𪃛𪆿𪉦𪋁𪙨𬣡
jian5,1,橺
jiang1,49,㹔䗵䜫僵壃姜将將彊摪槳橿殭江浆漿畕畺疅疆礓糨繮缰翞茳葁蔣薑螀螿豇韁鱂鳉𠘌𡷍𢪇𤕭𤕯𤛜𥆅𥔣𥗪𥬮𦦗𧘍𨃇𨜰
jiang3,29,㢡㯍䁰䉃䋌䒂傋勥塂奖奨奬將桨槳獎耩膙蒋蔣講讲顜𡏞𡑶𣫳𤖛𥷃𩌾
jiang4,50,䞪䥒勥匞匠夅将將嵹弜弶強强彊摾櫤洚浆滰漿犟畺疆糡糨紅絳绛蔃虹袶謽酱醤醬降𠷐𠼢𡲣𢘸𣚦𣨣𣩴𥞜𨯞𩝽𩴒𩷄𩷭𪀘
jiang5,1,杢
jiao1,104,㲬㶀䌭䍊䙼䢒䴔䶰交佼僥僬儌咬嘄嘐噍姣娇嫶嬌峧嵺嶕嶣徼憍憢挍撟教椒橋浇湫澆激焦燋矯礁穚簥胶膠膲艽芁茭茮菽萩蕉蕎虠蛟蟭跤轇郊鄗鐎驕骄骹鮫鲛鵁鷦鷮鹪𠝑𠩏𡏭𡓖𡟠𢧱𣝞𣺳𤺃𥃪𥄉𥉼𥹜𦅃𦌆𦫶𧣦𨎦𨓩𨨴𨱓𨶲𨸋𩎔𩥊𩴧𩵰𩾗𩾾𩿑𪁉𪚰
jiao2,3,嚼矫矯
jiao3,126,㡑㩰㭂㳅㽱㽲䀊䁶䉰䕧䘨䚩䥞䰘佼侥僑僥僬儌剿劋勦卻咬喬妖姣孂徺徼恔憿挢捁搅摎摷撟撹攪敥敫敽敿晈暞曒校樔橋湫湬潐灚烄煍燞狡璬皎皛皦矫矯笅筊糾絞繳纐绞缴脚腳膠臫蟜角譑賋踋蹻釥鉸铰隦餃饺鱎𠕧𠜅𠞰𡙎𢀌𢄺𢅎𢯴𢶡𢻟𣁹𣏑𣧦𣩓𤃭𤉧𤶀𤶳𥂨𥃤𥃧𥅟𥇟𥉒𥏹𥳴𦗵𧂈𧎙𧎸𨇕𨖵𨝰𨶟𨶪𨺹
jiao4,84,㠐㬭㰾㹾䂃䚩䡈僬叫叽呌嘂嘄嘦噍噭嚼嬓學峤嶠徼悎挍敎教敫斠校橋滘漖潐激灂爝獥珓皭稾窌窖筊絞繳藠覺觉訆譥趫趭較轎轿较酵醮釂餃𠘣𡥈𡬋𢒾𢕪𢥚𢺽𢼫𤕝𤫷𥘊𥡤𥦢𦮁𧺜𧾐𨎬𨡃𨲭𩊔𩏷𩯘𩱞𪖄
jiao5,2,櫵鵤
jie1,66,㓩㡇㫸䃈䕸䥛䦈亥偕喈喼嗟嚌堦媘嫅差担接掲揭擑椄楷湝煯疖痎癤皆祖秸稭節結结罝脻节苴菨蝔街裓謯鍇阶階鞂鶛𠙤𣆟𣶏𤭧𤮌𥷫𦀓𦁉𦈰𦝨𧞝𧪘𩘅𩩰𪉚
jie2,209,㓗㔚㔾㘶㛃㞏㞯㠎㦢㨗㨩㮞㮮㸅㼪䀷䀹䂝䂶䅥䌖䕙䗻䣠䥛䫘䲙倢偈偼傑刦刧刼劫劼卩卪唧啑圾契婕媫孑尐岊崨嵑嵥嶻巀幯截扢拮捷掶搩擮擳昅杰桀桔桝椄楬楶概榤櫭洁洯渴滐潔狤疌睫砝碣礍竭節紇紒結絜结羯脥节莭蓵蛣蜐蝍蠘蠞蠽衱袷袺訐詰誱讦诘趌跲踕迼鉣鍻鞊頡颉髻魝鮚鲒𠂈𠄍𠅂𠐉𠬮𠯙𠲵𡉷𡔣𡙣𡣯𡨲𡩣𡴱𡵒𡸎𡽱𢈻𢎔𢎡𢢂𢨜𢪍𢫐𢬱𢮌𢱄𢴲𢷿𢻮𣓉𣙴𣚃𣮌𣮍𣰞𣲡𣳟𤁢𥁂𥅴𥇒𥓐𥝔𥝥𥠹𥢻𥵞𥾌𦀖𦈜𦎒𦵴𦺢𦿐𧉧𧍠𧍩𧏥𧞩𧞬𧫑𧼨𧽄𧽟𧾢𧾯𨃲𨓰𨕽𨥂𩔄𩟦𩟶𩢴𩧵𩯰𩾶𪀾𪁍𪃈𪅸𪇲𪉋𪌧𪖋
jie3,12,她姐媎檞毑獬袓解觧鍇飷𠎿
jie4,77,㑘㝏㠹㾏㿍䁓䇒䛺䯰䰺䱄䲸丯介价借吤唶嗟堺妎屆届岕嶰庎徣悈戒拾斺暨楐楷犗玠琾界畍疥砎籍紒耤艐芥藉蚧蛶衸褯解觧誡諎诫鎅雃骱魪鶛𠓢𠷟𡗦𡗲𡵚𣬫𤘦𤙩𧜅𧣋𨐑𨵠𩡺𩧦𪑹𪙏
jie5,4,价假價家
jin1,65,㦗㧆㻱䃡䃸䈥䈽䌝䘳䤺今兓埐堻嶜巾惍斤津濜珒琻璡矜矝砛禁竻筋紟肋荕菳衿襟觔金釒釿钅鹶黅𠂟𠰇𢎭𢦊𤣶𤧫𥂵𦈟𦘔𦞬𦩏𧗁𧢹𨆃𨔥𨭺𩀿𩤿𩻛𪉢𪑙𪖼𬬱
jin3,45,㝻㯸㹏䌍䐶䒺䤐䥆䭙仅侭僅儘卺厪堇婜嫤尽巹廑慬斳槿漌瑾盡紧紾緊菫蓳謹谨錦锦饉馑𢬬𣝌𥖜𥧲𥯑𨚡𪏴
jin4,112,㦗㨷㬐㬜㯲㱈㴆㶦㶳䀆䆮䋮䌝䑤䗯䝲䫴䶖仅伒僅僸儘凚劤劲勁吟唫噤嚍堇墐壗妗嫤嬐嬧寖尽慬搢晉晋枃榗歏殣浕浸湛溍濅濜烬煡燼琎瑨瑾璡璶盡祲禁笒紟縉缙臸荩藎覲觐賮贐赆近进進金鋟靳馸齽𠞱𠞾𠢱𠢵𠬶𠾤𠾬𡢳𡥦𡥨𡺽𢉅𢙿𢬶𢱷𢽖𣓏𤄼𤘡𤧫𤵞𥧲𦎷𦧈𦽔𧔷𩖗
